period_start,analytical_period,measure_id,measure_name,measure_value
2020-04-01,pandemic,M076,Count_FinishedCourseTreatment,60451.0
2020-04-01,pandemic,M192,Percentage_Recovery,46.6
2020-04-01,pandemic,M195,Percentage_ReliableRecovery,44.0
2020-05-01,pandemic,M001,Count_ReferralsReceived,78544.0
2020-05-01,pandemic,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,87.0
2020-05-01,pandemic,M076,Count_FinishedCourseTreatment,50605.0
2020-05-01,pandemic,M192,Percentage_Recovery,50.6
2020-05-01,pandemic,M195,Percentage_ReliableRecovery,48.0
2020-06-01,pandemic,M001,Count_ReferralsReceived,111752.0
2020-06-01,pandemic,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,86.5
2020-06-01,pandemic,M076,Count_FinishedCourseTreatment,57060.0
2020-06-01,pandemic,M192,Percentage_Recovery,51.8
2020-06-01,pandemic,M195,Percentage_ReliableRecovery,49.0
2020-07-01,pandemic,M001,Count_ReferralsReceived,128988.0
2020-07-01,pandemic,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,87.5
2020-07-01,pandemic,M076,Count_FinishedCourseTreatment,56797.0
2020-07-01,pandemic,M192,Percentage_Recovery,52.0
2020-07-01,pandemic,M195,Percentage_ReliableRecovery,49.5
2020-08-01,pandemic,M001,Count_ReferralsReceived,116102.0
2020-08-01,pandemic,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,89.1
2020-08-01,pandemic,M076,Count_FinishedCourseTreatment,47375.0
2020-08-01,pandemic,M192,Percentage_Recovery,51.9
2020-08-01,pandemic,M195,Percentage_ReliableRecovery,49.3
2020-09-01,pandemic,M001,Count_ReferralsReceived,133518.0
2020-09-01,pandemic,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,90.3
2020-09-01,pandemic,M076,Count_FinishedCourseTreatment,53888.0
2020-09-01,pandemic,M192,Percentage_Recovery,51.6
2020-09-01,pandemic,M195,Percentage_ReliableRecovery,49.1
2020-10-01,pandemic,M001,Count_ReferralsReceived,137266.0
2020-10-01,pandemic,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,91.2
2020-10-01,pandemic,M076,Count_FinishedCourseTreatment,52592.0
2020-10-01,pandemic,M192,Percentage_Recovery,51.5
2020-10-01,pandemic,M195,Percentage_ReliableRecovery,48.9
2020-11-01,pandemic,M001,Count_ReferralsReceived,133256.0
2020-11-01,pandemic,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,91.7
2020-11-01,pandemic,M076,Count_FinishedCourseTreatment,52385.0
2020-11-01,pandemic,M192,Percentage_Recovery,51.9
2020-11-01,pandemic,M195,Percentage_ReliableRecovery,49.2
2020-12-01,pandemic,M001,Count_ReferralsReceived,115671.0
2020-12-01,pandemic,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,92.8
2020-12-01,pandemic,M076,Count_FinishedCourseTreatment,48111.0
2020-12-01,pandemic,M192,Percentage_Recovery,51.6
2020-12-01,pandemic,M195,Percentage_ReliableRecovery,48.8
2021-01-01,pandemic,M001,Count_ReferralsReceived,132008.0
2021-01-01,pandemic,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,92.9
2021-01-01,pandemic,M076,Count_FinishedCourseTreatment,51285.0
2021-01-01,pandemic,M192,Percentage_Recovery,51.8
2021-01-01,pandemic,M195,Percentage_ReliableRecovery,49.1
2021-02-01,pandemic,M001,Count_ReferralsReceived,133720.0
2021-02-01,pandemic,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,92.7
2021-02-01,pandemic,M076,Count_FinishedCourseTreatment,48717.0
2021-02-01,pandemic,M192,Percentage_Recovery,52.8
2021-02-01,pandemic,M195,Percentage_ReliableRecovery,50.1
2021-03-01,pandemic,M001,Count_ReferralsReceived,159559.0
2021-03-01,pandemic,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,92.7
2021-03-01,pandemic,M076,Count_FinishedCourseTreatment,57569.0
2021-03-01,pandemic,M192,Percentage_Recovery,53.4
2021-03-01,pandemic,M195,Percentage_ReliableRecovery,50.6
2021-04-01,recovery,M001,Count_ReferralsReceived,139757.0
2021-04-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,92.8
2021-04-01,recovery,M076,Count_FinishedCourseTreatment,60110.0
2021-04-01,recovery,M192,Percentage_Recovery,48.4
2021-04-01,recovery,M195,Percentage_ReliableRecovery,45.9
2021-05-01,recovery,M001,Count_ReferralsReceived,147394.0
2021-05-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,92.6
2021-05-01,recovery,M076,Count_FinishedCourseTreatment,52041.0
2021-05-01,recovery,M192,Percentage_Recovery,52.5
